ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Avg_rating,Num_rating,Genres
0312990456,One for the Money (A Stephanie Plum Novel),Janet Evanovich,2003,St. Martin's Paperbacks,8.607843137254902,51,"['Mystery', 'Adventure']"
0316969680,The Beach House,James Patterson,2002,"Little, Brown",7.333333333333333,33,"['Thriller', 'Romance']"
3518368540,Homo Faber,Max Frisch,0,Distribooks Int'l+inc,7.9,10,"['Historical', 'Sci-Fi']"
0786887842,Rabbit-Proof Fence : The True Story of One of the Greatest Escapes of  All Time,Doris Pilkington,2002,Miramax,7.714285714285714,7,"['Biography', 'Historical']"
0441005667,Forever Peace (Remembering Tomorrow),Joe Haldeman,1998,Ace Books,8.0,4,['Sci-Fi']
0312965338,The Climb: Tragic Ambitions on Everest,Anatoli Boukreev,1998,St. Martin's Press,6.833333333333333,6,"['Non-Fiction', 'Adventure']"
0399501487,Lord of the Flies,William Gerald Golding,1959,Perigee Trade,8.126582278481013,79,"['Young Adult', 'Adventure']"
0060514949,Dead Ringer,Lisa Scottoline,2004,HarperTorch,6.571428571428571,7,"['Thriller', 'Mystery']"
0425188361,"Cerulean Sins: An Anita Blake, Vampire Hunter Novel",Laurell K. Hamilton,2003,Berkley Publishing Group,8.416666666666666,12,"['Fantasy', 'Horror']"
0395177111,The Hobbit (Leatherette Collector's Edition),J. R. R. Tolkien,1973,Houghton Mifflin Company,9.0625,16,"['Fantasy', 'Adventure']"
0375411992,Blackwood Farm (The Vampire Chronicles),Anne Rice,2002,Alfred A. Knopf,7.416666666666667,12,"['Fantasy', 'Horror']"
0425177173,Atlantis Found,Clive Cussler,2001,Berkley Publishing Group,6.9,20,"['Adventure', 'Sci-Fi']"
0440224764,The Partner,John Grisham,1998,Dell Publishing Company,7.606741573033708,89,['Thriller']
0553572997,The Alienist,Caleb Carr,1995,Bantam Books,7.716216216216216,74,"['Mystery', 'Historical']"
034543076X,Manifold: Time (Manifold (Paperback)),Stephen Baxter,2000,Del Rey Books,8.0,6,['Sci-Fi']
0380727501,Notes from a Small Island,Bill Bryson,1997,Perennial,8.09375,32,['Non-Fiction']
0312423799,Dry : A Memoir,Augusten Burroughs,2004,Picador,8.4,5,['Biography']
037542217X,The Kalahari Typing School for Men : More from the No. 1 Ladies' Detective Agency,Alexander McCall Smith,2003,Pantheon,9.444444444444445,9,['Mystery']
0061093106,"Red, White and Blue : A Novel",Susan Isaacs,1999,HarperTorch,6.0,7,['Historical']
0373218192,Engaging The Enemy,Nora Roberts,2003,Silhouette,7.346153846153846,26,['Romance']
0515120006,Holding the Dream (Dream Trilogy),Nora Roberts,2001,Jove Books,7.45,20,['Romance']
0515127396,The Cat Who Saw Stars (Cat Who... (Paperback)),Lilian Jackson Braun,2000,Jove Books,6.8,15,['Mystery']
0345416260,Pope Joan (Ballantine Reader's Circle),Donna Woolfolk Cross,1996,Ballantine Books,8.03448275862069,29,['Historical']
0385494785,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,1999,Anchor,8.285714285714286,7,"['Non-Fiction', 'Adventure']"
0385486804,Into the Wild,Jon Krakauer,1997,Anchor,8.148148148148149,54,"['Biography', 'Adventure']"
0385512104,The Curious Incident of the Dog in the Night-Time (Today Show Book Club #13),Mark Haddon,2003,Doubleday,8.255813953488373,43,"['Mystery', 'Young Adult']"
039914255X,Eat Right for Your Type,Peter J. D'Adamo,1996,G. P. Putnam's Sons,6.25,8,['Non-Fiction']
0440236673,The Brethren,John Grisham,2000,Island,7.6075949367088604,79,['Thriller']
0316291161,The French Lieutenant's Woman (French Lieutenant's Woman),John Fowles,1998,Back Bay Books,8.714285714285714,7,"['Romance', 'Historical']"
0679771476,The Law of Similars,CHRIS BOHJALIAN,2000,Vintage,7.666666666666667,9,"['Mystery', 'Thriller']"
0064405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy,7.538461538461538,13,"['Young Adult', 'Adventure']"
0440235162,The Smoke Jumper,Nicholas Evans,2002,Dell Publishing Company,7.851851851851852,27,['Adventure']
076790382X,I'm a Stranger Here Myself: Notes on Returning to America After 20 Years Away,Bill Bryson,2000,Broadway Books,7.8076923076923075,26,"['Non-Fiction', 'Biography']"
0425158616,Cause of Death,Patricia Daniels Cornwell,1997,Berkley Publishing Group,7.837209302325581,43,"['Mystery', 'Thriller']"
0062502182,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1995,HarperSanFrancisco,8.0,57,"['Fantasy', 'Adventure']"
0060175400,The Poisonwood Bible,Barbara Kingsolver,1999,HarperCollins,8.78125,32,"['Historical', 'Romance']"
1573221775,My Dream of You,Nuala O'Faolain,2001,Riverhead Books,7.2,10,"['Romance', 'Historical']"
0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket,7.461538461538462,13,['Romance']
0743437810,The Vanished Man : A Lincoln Rhyme Novel (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,2004,Pocket Books,8.909090909090908,11,"['Mystery', 'Thriller']"
0517149257,The Ultimate Hitchhiker's Guide,Douglas Adams,1996,Random House Value Publishing,9.058823529411764,17,"['Sci-Fi', 'Adventure']"
0743222008,The Vanished Man : A Lincoln Rhyme Novel,Jeffery Deaver,2003,Simon &amp; Schuster,7.733333333333333,15,"['Mystery', 'Thriller']"
0515127221,Sullivan's Island: A Lowcountry Tale,Dorothea Benton Frank,2000,Jove Books,8.125,16,"['Historical', 'Romance']"
0425161242,Chromosome 6,Robin Cook,2000,Berkley Publishing Group,7.5,18,"['Thriller', 'Mystery']"
0425169863,Point of Origin,Patricia Daniels Cornwell,1999,Berkley Publishing Group,7.8478260869565215,46,"['Mystery', 'Thriller']"
0345380371,Rising Sun,MICHAEL CRICHTON,1992,Ballantine Books,7.4,65,"['Sci-Fi', 'Thriller']"
0446609323,Black Friday,James Patterson,1989,Warner Vision,6.814814814814815,27,"['Thriller', 'Mystery']"
0316690619,Cradle and All,James Patterson,2000,Little Brown and Company,6.782608695652174,23,"['Thriller', 'Mystery']"
0446610038,1st to Die: A Novel,James Patterson,2002,Warner Vision,7.84,100,"['Thriller', 'Mystery']"
0451201558,Cold Case,Stephen White,2001,Signet Book,6.1,10,"['Mystery', 'Thriller']"
0679459626,Flesh and Blood,Jonathan Kellerman,2001,Random House,7.75,16,"['Mystery', 'Thriller']"
0671001701,Legend,Jude Deveraux,1997,Pocket,7.777777777777778,9,"['Romance', 'Fantasy']"
0805019375,L Is for Lawless (Kinsey Millhone Mysteries),Sue Grafton,1995,Henry Holt &amp; Company,7.421052631578948,19,"['Mystery', 'Thriller']"
0006550789,253,Geoff Ryman,0,Flamingo,7.625,8,['Sci-Fi']
0385492081,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,1998,Anchor,8.469696969696969,66,"['Non-Fiction', 'Adventure']"
0451524829,The Phantom of the Opera (Signet Classics (Paperback)),Gaston Leroux,1990,Signet Classics,7.75,4,"['Historical', 'Romance', 'Horror']"
0425130215,Hocus Pocus,Kurt Vonnegut,1991,Berkley Publishing Group,8.058823529411764,17,['Fantasy']
0061000175,Skinwalkers (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1990,HarperTorch,7.357142857142857,14,"['Mystery', 'Adventure']"
0061097659,Switcheroo : A Novel,Olivia Goldsmith,1999,HarperTorch,7.777777777777778,9,['Romance']
067976402X,Snow Falling on Cedars,David Guterson,1995,Vintage Books USA,7.828358208955223,134,"['Historical', 'Mystery']"
1558532161,Life's Little Instruction Book; Volume II,H. Jackson Brown,1993,Thomas Nelson Inc,8.454545454545455,11,['Non-Fiction']
0743457358,Everything's Eventual : 14 Dark Tales,Stephen King,2002,Pocket,7.933333333333334,30,['Horror']
0743456866,He Sees You When You're Sleeping : A Novel,Carol Higgins Clark,2002,Pocket,6.9,10,"['Thriller', 'Mystery']"
0440235464,Lost Girls,Andrew Pyper,2001,Dell Publishing Company,6.5,8,"['Horror', 'Mystery']"
0345425707,A Cup of Tea (Ballantine Reader's Circle),Amy Ephron,1998,Ballantine Books,7.071428571428571,14,"['Romance', 'Historical']"
0765342294,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,2002,Starscape Books,9.0,9,"['Sci-Fi', 'Young Adult']"
0451821971,Leaving Home,Garrison Keillor,1988,New Amer Library,8.0,6,['Biography']
0670894494,The Passion of Artemisia,Susan Vreeland,2002,Viking Books,7.4,10,"['Historical', 'Biography']"
0345434692,The Skies of Pern,Anne McCaffrey,2002,Del Rey Books,7.636363636363637,11,"['Fantasy', 'Sci-Fi']"
0553131893,Dragondrums,Anne McCaffrey,1980,Bantam Books,7.857142857142857,7,"['Fantasy', 'Adventure']"
0425167313,Here on Earth,Alice Hoffman,1998,Berkley Publishing Group,7.162790697674419,43,"['Romance', 'Fantasy']"
034540288X,The Lost World,Michael Crichton,1996,Ballantine Books,7.310344827586207,58,"['Adventure', 'Sci-Fi']"
0786808772,Summerland,Michael Chabon,2002,Miramax Kids,7.833333333333333,6,"['Fantasy', 'Adventure']"
0553258540,Dragonsinger (Harper Hall Trilogy),Anne McCaffrey,1989,Bantam Books,9.0,9,"['Fantasy', 'Adventure']"
0440237688,The Giver (Readers Circle),LOIS LOWRY,2002,Laurel Leaf,9.05,20,"['Young Adult', 'Sci-Fi']"
0425167720,An Instance of the Fingerpost,Iain Pears,1999,Berkley Publishing Group,6.916666666666667,12,"['Mystery', 'Historical']"
0609610597,"The Shelters of Stone (Earth's Children Series, No 5)",JEAN M. AUEL,2002,Crown,7.114285714285714,35,"['Historical', 'Adventure']"
0374281602,Reversible Errors: A Novel,Scott Turow,2002,Farrar Straus Giroux,6.785714285714286,14,"['Thriller', 'Mystery']"
0060970790,The Man Who Mistook His Wife for a Hat: And Other Clinical Tales,Oliver Sacks,1987,Harpercollins,7.8,10,"['Non-Fiction', 'Biography']"
0156787334,A Room of One's Own,Virginia Woolf,1989,Harcourt,6.928571428571429,14,['Non-Fiction']
0316182540,White Oleander : A Novel,Janet Fitch,2001,"Little, Brown",8.476190476190476,21,['Romance']
0553299506,Private Eyes (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1992,Bantam Books,7.3125,16,"['Thriller', 'Mystery']"
0446611611,City of Bones,Michael Connelly,2003,Warner Books,8.0,21,"['Thriller', 'Mystery']"
0446604658,Lucky You,Carl Hiaasen,1998,Warner Vision,7.842105263157895,19,"['Thriller', 'Adventure']"
0553282476,CAT'S EYE,MARGARET ATWOOD,1989,Bantam,7.714285714285714,14,"['Romance', 'Horror']"
0449212602,The Handmaid's Tale,Margaret Atwood,1989,Fawcett Books,8.647887323943662,71,"['Sci-Fi', 'Fantasy']"
0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner,7.047619047619048,42,"['Horror', 'Adventure']"
0345413903,The Murder Book,Jonathan Kellerman,2003,Ballantine Books,8.047619047619047,42,"['Thriller', 'Mystery']"
0590634275,Captain Underpants and the Attack of the Talking Toilets: Another Epic Novel (Captain Underpants (Paper)),Dav Pilkey,1999,Scholastic,8.444444444444445,9,"['Young Adult', 'Fantasy', 'Adventure']"
3257228007,Das Parfum: Die Geschichte Eines Morders,Patrick Suskind,1994,Distribooks Inc,8.5,12,"['Historical', 'Thriller']"
0553582143,Body of Lies,IRIS JOHANSEN,2003,Bantam,8.043478260869565,23,"['Thriller', 'Romance']"
0060002492,Amazonia,James Rollins,2003,Avon Books,7.5,6,"['Adventure', 'Thriller']"
0786866462,A Density of Souls,Christopher Rice,2000,Miramax,9.0,9,"['Fantasy', 'Horror']"
0679426159,Standing in the Rainbow : A Novel,FANNIE FLAGG,2002,Random House,8.055555555555555,18,"['Historical', 'Fiction', 'Romance']"
0316569321,White Oleander : A Novel,Janet Fitch,1999,"Little, Brown",7.567567567567567,74,"['Fiction', 'Horror', 'Young Adult']"
067169071X,EVERYTHING SHE EVER WANTED,Ann Rule,1993,Pocket,7.428571428571429,14,"['Non-Fiction', 'Biography']"
0679732241,The Sound and the Fury (Vintage International),WILLIAM FAULKNER,1991,Vintage,7.666666666666667,9,"['Historical', 'Fiction']"
0515090174,The Cat Who Could Read Backwards,Lilian Jackson Braun,1994,Jove Books,7.294117647058823,17,['Mystery']
0515095826,The Cat Who Knew Shakespeare,Lilian Jackson Braun,1988,Jove Books,6.875,24,['Mystery']
0515111279,The Cat Who Wasn't There,Lilian Jackson Braun,1994,Jove Books,7.176470588235294,17,['Mystery']
1570719586,God-Shaped Hole,Tiffanie DeBartolo,2002,Sourcebooks Landmark,5.75,4,['Romance']
0385475713,Alias Grace,Margaret Atwood,1996,Nan A. Talese,8.363636363636363,11,"['Historical', 'Fiction']"
0553375407,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,1995,Bantam,8.38888888888889,36,['Adventure']
0151006903,Baudolino,Umberto Eco,2002,Harcourt,6.285714285714286,7,"['Historical', 'Adventure']"
0679744479,Written on the Body,Jeanette Winterson,1994,Vintage Books USA,8.25,12,['Romance']
0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group,8.34375,32,"['Thriller', 'Horror']"
0671024248,Hearts In Atlantis,Stephen King,2000,Pocket,7.6571428571428575,35,"['Fiction', 'Young Adult']"
0671034022,Mercy,Julie Garwood,2002,Pocket,8.25,20,['Romance']
0440208149,An Acceptable Time,Madeleine L'Engle,1990,Laure Leaf,7.5,10,"['Young Adult', 'Science Fantasy', 'Adventure']"
0451151259,Eyes of the Dragon,Stephen King,1988,Penguin Putnam~mass,8.285714285714286,28,"['Fantasy', 'Young Adult', 'Adventure']"
0375727132,The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback)),ANN PACKER,2003,Vintage,7.333333333333333,27,['Romance']
0446607711,The Simple Truth,David Baldacci,1999,Warner Books,7.0,34,"['Thriller', 'Mystery']"
0345416880,Enchantment,Orson Scott Card,2000,Del Rey Books,7.454545454545454,11,"['Fantasy', 'Adventure', 'Romance']"
0385483503,Arranged Marriage: Stories,Chitra Banerjee Divakaruni,1996,Anchor,8.11111111111111,9,"['Romance', 'Historical']"
038548951X,Sister of My Heart,Chitra Banerjee Divakaruni,2000,Anchor Pub,8.884615384615385,26,"['Romance', 'Historical']"
0060512806,Cryptonomicon,Neal Stephenson,2002,Avon Books,8.166666666666666,12,"['Sci-Fi', 'Adventure']"
0060972459,Tracks RI,Louise Erdrich,2004,Perennial,7.571428571428571,7,"['Historical', 'Romance']"
0805012478,Steppenwolf,Hermann Hesse,1990,Henry Holt &amp; Company,8.571428571428571,7,"['Fantasy', 'Historical']"
0060975547,Love Medicine,Louise Erdrich,1993,Perennial,7.0,11,"['Romance', 'Historical']"
0609806505,"Guenevere, Queen of the Summer Country (Guenevere Novels (Paperback))",ROSALIND MILES,2000,Three Rivers Press,7.142857142857143,7,"['Fantasy', 'Romance', 'Historical']"
0812505166,Wuthering Heights,Emily Bronte,1989,Tor Classics,8.444444444444445,9,"['Romance', 'Historical']"
0393312801,The Acid House,Irvine Welsh,1995,W. W. Norton &amp; Company,8.0,5,['Horror']
0446525804,Last Man Standing,David Baldacci,2001,Warner Books,7.416666666666667,12,"['Thriller', 'Adventure']"
0446516570,Up Country: A Novel,Nelson DeMille,2002,Warner Books,7.9,10,"['Thriller', 'Adventure']"
0345434773,Evensong (Ballantine Reader's Circle),Gail Godwin,2000,Ballantine Books,7.6,5,"['Romance', 'Historical']"
0515122491,The Maze,Catherine Coulter,1998,Jove Books,7.473684210526316,19,"['Mystery', 'Thriller']"
051512902X,After Dark,Jayne Castle,2000,Jove Books,8.428571428571429,7,"['Romance', 'Sci-Fi']"
0515131091,Out of This World,J. D. Robb,2001,Jove Books,8.25,12,"['Sci-Fi', 'Romance']"
0140265686,Out to Canaan (The Mitford Years),Jan Karon,1998,Viking Books,7.894736842105263,19,"['Historical', 'Romance']"
0140257934,"These High, Green Hills (The Mitford Years)",Jan Karon,1997,Viking Books,7.666666666666667,21,"['Historical', 'Romance']"
0140254544,A Light in the Window (The Mitford Years),Jan Karon,1996,Penguin Books,8.333333333333334,30,"['Historical', 'Romance']"
0451524934,1984,George Orwell,1990,Signet Book,8.833333333333334,66,"['Sci-Fi', 'Dystopian']"
0679721819,Mama Day (Vintage Contemporaries),Gloria Naylor,1989,Vintage Books USA,8.428571428571429,7,"['Romance', 'Historical', 'Fantasy']"
0345392825,Reviving Ophelia: Saving the Selves of Adolescent Girls (Ballantine Reader's Circle),Mary Pipher,1995,Ballantine Books,7.653846153846154,26,"['Non-Fiction', 'Young Adult']"
0671027123,All Through the Night (Holiday Classics),Mary Higgins Clark,1999,Pocket,7.9,10,"['Mystery', 'Thriller']"
0449225151,A Place Called Freedom,Ken Follett,1996,Fawcett Books,7.666666666666667,9,"['Historical', 'Adventure']"
0345350499,The Mists of Avalon,MARION ZIMMER BRADLEY,1987,Del Rey,8.625,56,['Fantasy']
0312976275,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001,St. Martin's Paperbacks,7.857142857142857,63,"['Mystery', 'Adventure']"
0767905180,Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green,2001,Broadway Books,7.446428571428571,56,['Romance']
0373242328,"The Perfect Neighbor (The Macgregors) (The Macgregors : Special Edition Series, No 1232)",Nora Roberts,1999,Silhouette,7.454545454545454,11,['Romance']
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,8.994565217391305,184,"['Fantasy', 'Young Adult']"
0316089699,Sea Glass: A Novel,Anita Shreve,2003,Back Bay Books,7.809523809523809,21,['Romance']
0140348107,My Side of the Mountain,Jean Craighead George,2000,Scott Foresman (Pearson K-12),8.538461538461538,13,"['Adventure', 'Young Adult']"
0375701427,American Pastoral,Philip Roth,1998,Vintage,7.6,10,['Historical']
0380014300,Nine Princes In Amber,Roger Zelazny,1977,Avon,8.090909090909092,11,"['Fantasy', 'Sci-Fi']"
0330312367,Year In Provence,Peter Mayle,0,Pan Books Ltd,8.666666666666666,6,['Non-Fiction']
0060936363,Portrait in Sepia : A Novel,Isabel Allende,2002,Perennial,8.75,16,"['Historical', 'Romance']"
038082101X,Daughter of Fortune: A Novel,Isabel Allende,2001,HarperTorch,7.64,25,"['Historical', 'Romance']"
1558747028,Chicken Soup for the College Soul : Inspiring and Humorous Stories for College Students (Chicken Soup for the Soul),Jack Canfield,1999,Health Communications,7.166666666666667,12,"['Non-Fiction', 'Young Adult']"
0671708635,Seven Habits Of Highly Effective People,Stephen R. Covey,1990,Free Press,6.96875,32,['Non-Fiction']
0553377884,Skinny Legs and All,Tom Robbins,1995,Bantam,8.5,10,['Fantasy']
0061092088,Dangerous to Know,Barbara Taylor Bradford,1996,HarperTorch,6.857142857142857,7,['Romance']
0425162788,Politika (Tom Clancy's Power Plays (Paperback)),Tom Clancy,1999,Berkley Publishing Group,6.538461538461538,13,['Thriller']
0451208811,Blood Orchid,Stuart Woods,2003,Signet Book,7.230769230769231,13,['Thriller']
0345342968,Fahrenheit 451,RAY BRADBURY,1987,Del Rey,8.772277227722773,101,['Sci-Fi']
0812550706,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,Tor Books,8.955882352941176,68,"['Sci-Fi', 'Young Adult']"
0553580302,"House Harkonnen (Dune: House Trilogy, Book 2)",Brian Herbert,2001,Spectra Books,7.923076923076923,13,['Sci-Fi']
0441102670,"Chapterhouse Dune (Dune Chronicles, Book 6)",Frank Herbert,1996,ACE Charter,8.15,20,['Sci-Fi']
0441328008,"Heretics of Dune (Dune Chronicles, Book 5)",Frank Herbert,1996,ACE Charter,7.545454545454546,11,['Sci-Fi']
0441294677,"God Emperor of Dune (Dune Chronicles, Book 4)",Frank Herbert,1991,ACE Charter,7.461538461538462,13,['Sci-Fi']
0441104029,"Children of Dune (Dune Chronicles, Book 3)",Frank Herbert,1991,Ace Books,7.666666666666667,18,['Sci-Fi']
0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books,7.727272727272727,11,"['Fantasy', 'Horror']"
0345378482,The Andromeda Strain,MICHAEL CRICHTON,1992,Ballantine Books,7.651162790697675,43,"['Sci-Fi', 'Thriller']"
0671758896,"Loves Music, Loves to Dance",Mary Higgins Clark,1992,Pocket,7.586206896551724,29,"['Romance', 'Thriller']"
0345348109,The Killer Angels,Michael Shaara,1993,Ballantine Books,8.421052631578947,19,['Historical']
0451177096,Dolores Claiborne,Stephen King,2004,Signet Book,7.818181818181818,33,"['Horror', 'Thriller']"
0345422384,Pandora: New Tales of the Vampires (New Tales of the Vampires),Anne Rice,1999,Ballantine Books,7.333333333333333,24,"['Fantasy', 'Horror']"
0441328091,The Hero and the Crown,Robin McKinley,1989,ACE Charter,8.363636363636363,11,"['Fantasy', 'Young Adult']"
0684818868,Lies My Teacher Told Me : Everything Your American History Textbook Got Wrong,James W. Loewen,1996,Touchstone,8.090909090909092,11,"['Non-Fiction', 'Biography', 'Historical']"
0812513754,"Lord of Chaos (The Wheel of Time, Book 6)",Robert Jordan,1995,Tor Fantasy,7.9,10,"['Fantasy', 'Adventure']"
0812550307,"The Fires of Heaven (The Wheel of Time, Book 5)",Robert Jordan,1994,Tor Fantasy,8.2,15,"['Fantasy', 'Adventure']"
0812513738,"The Shadow Rising (The Wheel of Time, Book 4)",Robert Jordan,1993,Tor Fantasy,8.0,18,"['Fantasy', 'Adventure']"
0812511816,"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990,Tor Fantasy,8.0,33,"['Fantasy', 'Adventure']"
0099244926,The Street Lawyer,John Grisham,1999,Random House Uk Ltd,7.5,6,['Thriller']
0413588106,Growing Pains of Adrian Mole,Sue Townsend,0,Methuen Publishing Ltd,7.714285714285714,7,"['Young Adult', 'Comedy']"
0812515609,"People of the Mist (The First North Americans series, Book 9)",Kathleen O'Neal Gear,1998,Tor Books,8.166666666666666,6,"['Historical', 'Adventure']"
3442424623,Die Bildhauerin.,Minette Walters,1996,Goldmann,9.8,5,"['Mystery', 'Thriller']"
0425122123,Clear and Present Danger (Jack Ryan Novels),Tom Clancy,1996,Berkley Publishing Group,8.166666666666666,24,"['Thriller', 'Adventure']"
0385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997,Doubleday,8.695652173913043,115,"['Non-Fiction', 'Biography']"
0060922532,Pigs in Heaven,Barbara Kingsolver,1994,Perennial,7.8,30,"['Mystery', 'Adventure']"
0786864133,Napalm &amp; Silly Putty,George Carlin,2001,Hyperion,7.666666666666667,6,"['Non-Fiction', 'Comedy']"
0440236703,Tell No One,Harlan Coben,2002,Dell Publishing Company,8.119047619047619,42,"['Thriller', 'Mystery']"
1592400876,"Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,2004,Gotham Books,8.682926829268293,41,['Non-Fiction']
0316779490,Naked,David Sedaris,1997,Little Brown &amp; Co,8.066666666666666,15,"['Non-Fiction', 'Comedy']"
0767902513,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,1998,Bantam Dell Pub Group,8.3125,16,"['Non-Fiction', 'Adventure']"
0375706410,Waiting (Vintage International),Ha Jin,2000,Vintage Books USA,7.636363636363637,22,['Romance']
020530902X,"The Elements of Style, Fourth Edition",William Strunk Jr.,2000,Pearson Higher Education,9.11111111111111,9,['Non-Fiction']
0553274503,Flowers for Algernon (Bantam Classic),DANIEL KEYES,1984,Bantam,8.413793103448276,29,['Sci-Fi']
0413537900,The Secret Diary of Adrian Mole Aged 13 3/4,Sue Townsend,1982,Methuen Publishing Ltd,8.227272727272727,22,"['Young Adult', 'Comedy']"
0671511424,DEVIL IN A BLUE DRESS (Easy Rawlins Mysteries (Paperback)),Walter Mosley,1995,Pocket,6.4,5,['Mystery']
0425133540,The Sum of All Fears (Jack Ryan Novels),Tom Clancy,1996,Berkley Publishing Group,7.304347826086956,23,"['Thriller', 'Adventure']"
0743469801,Why Girls Are Weird : A Novel,Pamela Ribon,2003,Downtown Press,7.782608695652174,23,"['Young Adult', 'Romance']"
0425173755,Murder on the Orient Express (Hercule Poirot Mysteries (Paperback)),Agatha Christie,2000,Berkley Publishing Group,8.615384615384615,13,['Mystery']
0671822209,WLD ACCORDNG GARP,John Irving,1979,Pocket,8.333333333333334,15,"['Historical', 'Fiction']"
0446527289,The First Counsel,Brad Meltzer,2001,Warner Books,7.0,4,"['Thriller', 'Mystery']"
0345384350,Icebound,Dean R. Koontz,1995,Ballantine Books,7.76,25,"['Adventure', 'Thriller']"
0425175405,Black Notice,Patricia Daniels Cornwell,2000,Berkley Publishing Group,7.571428571428571,49,"['Thriller', 'Mystery']"
0380731851,Mystic River,Dennis Lehane,2002,HarperTorch,7.763636363636364,55,"['Mystery', 'Thriller']"
880781210X,iI Paradiso Degli Orchi,Daniel Pennac,1994,Universale Economica Feltrinelli,8.666666666666666,6,"['Young Adult', 'Fantasy']"
0684862719,Pay It Forward: A Novel,Catherine Ryan Hyde,2000,Simon &amp; Schuster,7.88,25,"['Young Adult', 'Fiction']"
0345452550,A Cold Heart: An Alex Delaware Novel,JONATHAN KELLERMAN,2003,Ballantine Books,7.736842105263157,19,"['Thriller', 'Mystery']"
0345452534,The Murder Book,JONATHAN KELLERMAN,2002,Ballantine Books,8.263157894736842,19,"['Thriller', 'Mystery']"
0316602051,The Jester,James Patterson,2003,"Little, Brown",7.565217391304348,23,"['Thriller', 'Adventure']"
0688156126,Jupiter's Bones: A Novel (Peter Decker &amp; Rina Lazarus Novels (Hardcover)),Faye Kellerman,1999,Harpercollins,8.0,7,"['Mystery', 'Thriller']"
0440221420,No Witnesses: A Novel,Ridley Pearson,1996,Island,8.0,7,"['Thriller', 'Mystery']"
0451197879,Roadwork,Richard Bachman,1999,Signet Book,7.625,8,"['Thriller', 'Mystery']"
0380796090,Watermelon,Marian Keyes,1999,Avon,8.083333333333334,12,"['Romance', 'Fiction']"
0446604666,Sick Puppy,Carl Hiaasen,2001,Warner Vision,8.1,40,"['Thriller', 'Adventure']"
0061015725,Prey,Michael Crichton,2003,Avon Books,7.586956521739131,46,"['Sci-Fi', 'Thriller']"
0553579754,Fear Nothing,DEAN KOONTZ,1998,Bantam,8.0,41,"['Horror', 'Thriller']"
0451163494,The Key to Rebecca,Ken Follett,1989,Signet Book,6.714285714285714,7,"['Historical', 'Thriller']"
0425157164,Shadows of Steel,Dale Brown,1997,Berkley Publishing Group,6.666666666666667,6,"['Adventure', 'Thriller']"
0449221482,J Is for Judgment,Sue Grafton,1999,Fawcett Books,8.238095238095237,42,"['Mystery', 'Thriller']"
0316154067,Void Moon,Michael Connelly,1999,"Little, Brown",7.2,10,['Thriller']
0553279912,A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),SUE GRAFTON,1987,Bantam,7.697368421052632,76,['Mystery']
0345353145,Sphere,MICHAEL CRICHTON,1988,Ballantine Books,7.494623655913978,93,['Sci-Fi']
0553348973,Still Life with Woodpecker,TOM ROBBINS,1990,Bantam,7.25,12,"['Fantasy', 'Romance']"
0446516538,Slow Waltz in Cedar Bend,Robert James Waller,1993,Warner Books,6.133333333333334,30,['Romance']
0440214041,The Pelican Brief,John Grisham,1993,Dell,7.673076923076923,104,['Thriller']
0679446486,Airframe,Michael Crichton,1996,Alfred A. Knopf,8.0,29,"['Sci-Fi', 'Thriller']"
1561706213,Adventures of a Psychic: The Fascinating Inspiring True-Life Story of One of America's Most Successful Clairvoyants,Sylvia Browne,1998,Hay House,7.571428571428571,7,"['Non-Fiction', 'Biography']"
0440108268,The Bridge Across Forever,Richard Bach,1986,Dell,7.142857142857143,21,['Romance']
044020562X,One,Richard Bach,1989,Dell,7.769230769230769,13,"['Fantasy', 'Romance']"
